Date,Temperature,DHI,DNI,Radiation,Precipitation,Humidity,Pressure,WindDirection,WindSpeed,Sunrise,Sunset,Month
2018-12-31,17.95454,83.54545,11.18181,85.90909,30.09999,93.27272,985.78181,182.18181,5.36363,0,0,12
2019-01-01,17.145454545454548,119.81818181818181,9.0,122.45454545454545,32.599999999999994,85.0909090909091,988.0363636363637,293.45454545454544,2.009090909090909,0,0,1
2019-01-02,13.372727272727275,74.18181818181819,5.363636363636363,74.63636363636364,29.018181818181812,83.0909090909091,989.472727272727,271.72727272727275,0.7363636363636363,0,0,1
2019-01-03,12.481818181818182,60.27272727272727,0.0,60.27272727272727,32.0,92.18181818181819,985.0636363636363,340.90909090909093,1.5454545454545454,0,0,1
2019-01-04,14.909090909090912,91.0909090909091,110.0,128.63636363636363,24.436363636363637,95.0909090909091,975.718181818182,203.0909090909091,5.545454545454546,0,0,1
2019-01-05,10.863636363636362,57.36363636363637,615.0,315.09090909090907,11.236363636363636,55.81818181818182,984.3636363636364,304.6363636363636,5.263636363636364,0,0,1
2019-01-06,13.409090909090908,42.54545454545455,695.7272727272727,324.3636363636364,10.372727272727273,60.27272727272727,990.1,302.09090909090907,1.2181818181818183,0,0,1
2019-01-07,13.972727272727274,61.18181818181818,607.9090909090909,314.54545454545456,12.681818181818182,64.36363636363636,990.8090909090909,162.8181818181818,3.472727272727273,0,0,1
2019-01-08,15.109090909090908,124.9090909090909,32.36363636363637,132.36363636363637,19.40909090909091,77.36363636363636,987.4090909090909,247.45454545454547,4.345454545454545,0,0,1
2019-01-09,7.4363636363636365,44.09090909090909,734.0,342.3636363636364,4.190909090909091,40.36363636363637,989.1727272727272,313.72727272727275,6.5,0,0,1
2019-01-10,2.7454545454545456,70.72727272727273,601.5454545454545,324.54545454545456,6.372727272727272,44.0,990.9272727272728,343.54545454545456,4.2272727272727275,0,0,1
2019-01-11,4.545454545454546,53.63636363636363,672.5454545454545,331.90909090909093,9.081818181818182,53.36363636363637,993.1090909090909,102.36363636363636,2.1818181818181817,0,0,1
2019-01-12,6.881818181818184,68.81818181818181,0.0,68.81818181818181,20.654545454545456,60.63636363636363,992.1181818181819,114.72727272727273,4.318181818181818,0,0,1
2019-01-13,10.07272727272727,75.27272727272727,1.0909090909090908,75.36363636363636,12.654545454545456,89.72727272727273,987.3909090909091,279.1818181818182,3.0,0,0,1
2019-01-14,7.218181818181819,95.81818181818181,1.6363636363636365,95.9090909090909,11.872727272727275,70.81818181818181,991.8727272727272,325.27272727272725,3.6636363636363636,0,0,1
2019-01-15,5.499999999999999,88.0909090909091,477.45454545454544,303.8181818181818,6.672727272727273,61.63636363636363,992.2727272727271,322.54545454545456,2.963636363636364,0,0,1
2019-01-16,6.509090909090909,57.81818181818182,671.0,344.54545454545456,7.0181818181818185,62.36363636363637,992.1727272727272,314.09090909090907,2.3545454545454545,0,0,1
2019-01-17,7.781818181818181,121.81818181818181,42.18181818181818,135.45454545454547,17.318181818181817,70.54545454545455,989.9363636363637,186.0,2.463636363636364,0,0,1
2019-01-18,11.381818181818183,139.9090909090909,3.0,140.54545454545453,14.20909090909091,85.72727272727273,987.1454545454545,239.1818181818182,1.309090909090909,0,0,1
2019-01-19,14.600000000000001,40.45454545454545,0.0,40.45454545454545,28.39090909090909,91.9090909090909,976.3636363636364,173.45454545454547,6.918181818181818,0,0,1
2019-01-20,1.5,91.72727272727273,250.36363636363637,182.45454545454547,6.572727272727272,56.81818181818182,983.0818181818181,322.90909090909093,7.781818181818182,0,0,1
2019-01-21,0.4636363636363638,57.0,714.5454545454545,359.8181818181818,6.927272727272726,34.72727272727273,996.9181818181819,120.18181818181819,2.5909090909090904,0,0,1
2019-01-22,3.7818181818181813,173.27272727272728,155.8181818181818,227.0,7.418181818181818,40.36363636363637,999.1090909090909,121.18181818181819,4.981818181818181,0,0,1
2019-01-23,13.845454545454546,142.0909090909091,35.0,162.8181818181818,23.736363636363638,76.0,985.0363636363636,158.27272727272728,7.309090909090911,0,0,1
2019-01-24,4.645454545454545,112.81818181818181,249.0909090909091,205.27272727272728,7.0,73.72727272727273,981.1090909090908,302.72727272727275,5.509090909090909,0,0,1
2019-01-25,3.9545454545454546,61.72727272727273,729.5454545454545,378.0,4.536363636363636,53.45454545454545,991.8454545454545,316.27272727272725,3.736363636363636,0,0,1
2019-01-26,4.7,64.72727272727273,688.0,372.72727272727275,7.3,53.0,991.9454545454545,290.27272727272725,2.8636363636363638,0,0,1
2019-01-27,7.872727272727274,195.0,39.54545454545455,208.9090909090909,9.363636363636362,59.0,987.4363636363637,284.8181818181818,2.2818181818181817,0,0,1
2019-01-28,8.554545454545455,150.0,362.3636363636364,302.54545454545456,10.145454545454546,58.18181818181818,983.3181818181816,234.72727272727272,3.1454545454545455,0,0,1
2019-01-29,2.9909090909090907,91.27272727272727,307.0,215.0,9.790909090909091,81.9090909090909,983.6363636363636,307.09090909090907,4.945454545454545,0,0,1
2019-01-30,1.8181818181818181,117.36363636363636,535.5454545454545,364.3636363636364,5.554545454545455,43.63636363636363,991.6454545454545,296.0,4.4,0,0,1
2019-01-31,3.8454545454545452,60.09090909090909,725.4545454545455,396.45454545454544,6.009090909090909,42.09090909090909,996.3090909090909,300.3636363636364,1.2999999999999998,0,0,1
2019-02-01,9.1,111.27272727272727,583.9090909090909,368.1818181818182,9.136363636363635,51.36363636363637,994.2909090909092,163.8181818181818,1.9000000000000001,0,0,2
